sentenca,categoria_maritaka
"Ambiente super agradável, atendimento simpático e simples, carnes de excelente paladar, custo benefício atrativos.","ambiente, serviço, comida, preço"
"Garçons atenciosos, amplo estacionamento e só !","serviço, localização"
Aténdimento ótimo por José Gregório,serviço
Melhor gerenciamento necessário.,serviço
"Ambiente diferente, uma parede enorme com várias cachaças diferentes.",ambiente
Parece legal.,"comida, bebida, serviço"
Filial do coco bambu excelente!,"comida, bebida, serviço"
"Falando em atendimento, a colabora Daniele muito educada, gentil, atenciosa e inteligente, parabéns a casa, aos donos e colaboradores que fazem um excelente trabalho.",serviço
"Jantar maravilhoso, comida deliciosa, uma tortinha de limao muito boa!Atendimento sem igual do garçon Izaquiel, muito educado e cordial.","comida, serviço"
"Lugar excelente pra encontros com amigos e reunir com a familia, ambiente familiar e aconchegante , bom atendimento com petiscos deliciosos, e vários tipos de chopp geladíssimo.","comida, bebida, serviço, ambiente"
"Uma noite abençoada , atendimento excelente pelo Alberto Blanca bem carismático e atencioso,comida muitooooo saborosa ambiente família  top com o Som ao vivo melhor ainda parabéns logo logo voltarei ?","serviço, comida, ambiente, outros"
"Gostei como sempre, mas já esta na hora de fazer uma reforma interna, deixar o ambiente mais agravel.","ambiente, geral"
"pizza muito boa e massas macias, ambiente agradável tambem familiar, pizzas muito saborosas super recomendo","comida, ambiente, serviço"
Uma boa opcão para experimentar a comida regional!,comida
"Estacionamento próprio, comida deliciosa, o camarão empanado é muito crocante!!","comida, outros"
Jardel o garçom do coqueiro verde o atendimento dele foi maravilhoso nota 10 tudo maravilhoso,serviço
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,"<frase>
                ambiente"
"A única ressalva é qto as estacionamento que possui apenas 2 vagas na frente e a rua quase sempre cheia de veiculos estacionados, destaque para a parede viva na frente da loja.Mais","localização, outros"
Pode ser pra happy hour quanto para dançar até tarde.,"a frase ""pode ser pra happy hour quanto para dançar até tarde"" não menciona especificamente nenhum tema relacionado a restaurantes, como comida, bebida, serviço, ambiente, localização, preço ou geral portanto, não é possível identificar temas do restaurante nesta sentença"
"Só queria que os cupons não tivessem data limite, sou cliente fiel mas também preciso manter a vida fitnes rsrs","serviço, outros"
Recomendo.,<frase>
"Excelente atendimento, o melhor que já tivemos no coco bambu.",serviço
"O atendimento e muito bom e o local conta com mesas em seu interior e fora, onde vc poderá desfrutar do contato com um jardim repleto de árvores e plantas nativas do Amazonas e sentir-se em contato com a natureza rica da região.","<frase>

serviço, ambiente"
"Joia, atendente Brian bem atencioso",serviço
E estou sem palavras pra dizer o quão gostoso é a picanha no bafo deste restaurante.?,"comida, bebida"
Cappuccino e tapioca caboquinho excelentes!,"comida, bebida"
"O espaço, conveniente na horizontal , tem im pé direito muito baixo o que faz o ruído ambiente cansativo e estrudente, e a casa nem estava cheia.","ambiente, outros"
É necessário muita atenção ao pagamento de contas em grupos maiores.,preço
"Com freguesia certa no bairro da Aparecida, o restaurante conta com estacionamento próximo e com dois andares de mesas.","localização, outros"
Noite perfeita.,"comida, bebida, serviço, ambiente, localização, geral"
Lugar clima de amizade muito com a velha guarda excelente pagode de primeira qualidade.,"comida, bebida, ambiente"
"Pedimos 1 sanduíche brioche misto, 1 croque monsieur, 2 sucos, 1 fatia de torta beijinho, tudo muito bom adorei, mas o valor de 98,20 reais, caro né ?","comida, bebida, preço"
"Passei lá no dia 28.6, para ver o estoque incrível de cachaças que eles tem a venda.. comprei uma de fabricação própria, para presentear... além da excelente comida e do chope gelado, vale visitar este estoque da bebida tradicional representante do brasil...","<frase>

bebida, comida, serviço"
"Apesar de ter dias cheios, o restaurante tem um atendimento deplorável (os clientem tem que implorar para serem atendidos e são tratados mal).",serviço
Amei o restaurante atendimento espertacular do garçom anderson França muito excelente em tudo amei o prato boa viagem camarão internacional tudo maravilhoso minha amiga Gisely que me indicou inclusive trabalha no restaurante.....voltarei mas vezes pra mim confraternizar com a família com certeza voltarei tudo incrível...Mais,"<frase>

serviço, comida, bebida, ambiente, localização, geral"
"O valor, claro que depende de condição financeira para condição financeira, é absurdamente barato, ainda mais em comparação com outros estabelecimentos sem nenhuma infraestrutura com preços mais caros.","preço, comparação com outros estabelecimentos"
"Eu recomendaria com toda certa o Tambagrill V8, que além de ter melhor custo-beneficio tem a melhor caldeirada da cidade e uns drinks maravilhosos.","serviço, comida, bebida"
Foi muitooo top,"<frase>
                comida, bebida, serviço"
"Moquém, significa assado na brasa ou churrasqueira em linguagem indígena e Banzeiro, é um termo da região utilizado para expressar uma onda pequena, ao fato que, a água do rio não produz ondas fortes como a do mar.","comida, bebida, serviço, ambiente, localização, preço, geral"
"O pastel de Belém estava com a massa meia encruada ,não estava crocante, O café carioca estava aguado .","comida, bebida"
"Excelente atendimento, com comida de qualidade, que utiliza plantas alimentícias não convencionais (PANC) de uma forma muito inteligente e saborosa.","serviço, comida"
"Atendimento da portaria ao atendimento de bar, os funcionários são educados e gentis, sem contar na energia gostosa que tem o lugar, muito bem frequentado.","serviço, ambiente, outros"
"Comida regional sem regionalismo, pronta pra surpreender paladares exigentes.",comida
"Dica é evitar os dias e horários de maior movimento,...Mais","localização, geral, outros"
"O complexo tem recepção externa organizada, estacionamento de veículos que custa $15 e traslado para o flutuante a $12 por pessoa (volta inclusa).","localização, preço"
"Em um espeça não muito grande, mas aconchegante, tem uma cervejinha sempre gelada e é uma ótima pedida pro fim de tarde.","serviço, bebida, ambiente"
Tipo de estabelecimento onde a quantidade e o lucro é o objetivo principal.,"localização, preço, geral"
Muito bom loca,localização
"Ambiente agradável, todo temático e eles dispoe de cervejas de fabricação própria.","ambiente, bebida"
Ótimo espaço para confraternizações familiares e empresariais.,"ambiente, geral"
Durante o almoço vira um estabelecimento de segunda categoria.,"comida, serviço"
The fries aren't much definitely not worth 10 dollars,comida
"Foram bons momentos em um excelente restaurante, com um atendimento perfeito e um cardápio delicioso ?","serviço, comida, bebida"
"Ao lado tem arborização do quintal vizinho,o que proporciona mais contato com a natureza.",ambiente
Melhor banho,"infelizmente, a frase ""melhor banho"" fornecida não contém informações suficientes para identificar os temas relacionados a restaurantes que você mencionou a frase parece não estar relacionada a uma experiência de restaurante e, portanto, não é possível classificá-la em nenhum dos temas especificados (comida, bebida, serviço, ambiente, localização, preço, geral ou outros) por favor, forneça uma frase que esteja relacionada a uma experiência de restaurante para que eu possa identificar os temas relevantes"
"Comi 3 pratos diferentes em ocasiões diferentes e sempre muito bem servido, com um cozimento impecável e um ótimo serviço, os preços são muito bons!","comida, serviço, preço"
"Caldo de peixe de entrada, casquinho de caranguejo e um saboroso lombo de tambaqui foram as nossas pedidas.",comida
Café da manhã delicioso.,"comida, bebida"
É uma grande aglomeração.,"ambiente, localização"
"A noite nem sempre a picanha é boa, frango de leite deve ser pedido ao ponto caso contrário vem ressecado paçoca ruim , batata frita muito boa assim como o abacaxi com groselha e gelo,  arroz de brocolis mto bom ....  estacionamento razoável em todas...Mais","comida, bebida, serviço, ambiente, localização"
"Lugar incrível, atendimento maravilhoso, Garcon Senna excelente Jean Ronald continue treinando bem sua equipe!!","serviço, ambiente"
"Parabéns à equipe pelo excelente trabalho, voltarei e recomendarei.","serviço, geral"
Legítimo representante da cozinha portuguesa.,comida
Super legal agradável  bom abiente,ambiente
"Local aconchegante , comida saborosa  e o atendimento do sr França excelente.","comida, serviço"
@prpvasconcelos so coisa linda,"serviço, ambiente, comida"
"Mas é possível encontrar nas adjacências alguns privados que não possui preços fixos, aceitando apenas alguns trocados.","localização, preço"
"Em plena segunda-feira a unidade manauara estava com suas mesas totalmente ocupadas, demonstrando o prestígio junto a locais e turistas.","geral, localização"
Tivemos uma ótima tarde/noite com happy hour e comida boa!,"comida, bebida, serviço"
Tem que preencher um pequeno cadastro para entrar.,"localização, outros"
Erick e Belém melhor dos melhores de bom .. super atencioso .. dedicado em atender bem .. parabéns.. super recomendo !!,serviço
"Muita noite maravilhosa ,em especial o atendimento super nota 10 do garçom Rennan , bom papo , super agradável e da garçonete Katianne , nota 10 .","serviço, outros"
Muiyo bom!! ?,"a frase ""muiyo bom!! ?"" não contém informações suficientes para identificar os temas mencionados, pois é muito curta e não oferece detalhes sobre a experiência no restaurante portanto, não é possível extrair e listar os temas de serviço, bebida, ambiente, comida, localização, preço ou geral, nem outros temas, a partir dessa frase"
"Atendimento perfeito, comida deliciosa e ótima companhia!","<frase>
                comida, serviço"
A recepcionista Lorena foi muito educada e gentil.,serviço
"No geral é um bom happy hour e restaurante, tem muitas opções de bebidas e vinhos e os petiscos são gostosos.","bebida, comida, serviço"
"Um ótimo restaurante, não perde o padrão do coco bambu de Fortaleza.","comida, serviço, localização"
"Excelente atendimento e o principal, pizza exageradamente saborosa!","serviço, comida"
"Se você gosta de um bom taco de rua, essa é uma ótima escolha.",comida
